primary_category,n,p05,p25,p50,p75,p95
其他,2105,-0.20357389823813885,-0.0814646991831096,-0.0067861161771911,0.0644299975730447,0.26188040380794064
资本动作,1605,-0.18332706820613834,-0.0763875524548831,-0.0104403155875648,0.064397654590841,0.24593891644315952
管理层/投关信号,601,-0.1895292496317906,-0.0784470366379647,-0.0196386382567805,0.0446006180789338,0.1930175357678765
产品/技术创新,552,-0.19081512257065658,-0.07910136526205097,-0.01342493454422835,0.067056036232544,0.24351534961981727
业绩信号,542,-0.19992101953640518,-0.08078636789859067,-0.0107684132935004,0.06284221234313977,0.2613167845325011
政策/行业,334,-0.17029408391036432,-0.0659747789172723,-0.0087362750920535,0.0728516294327615,0.2401390640983048
风险事件,301,-0.2087757490908763,-0.0826441977225432,-0.003909411068395,0.0835881885661286,0.3088468680928731
客户/订单,109,-0.2441515575048721,-0.0960710509180091,-0.015841529275748,0.0636871717808487,0.21078797828049667
